time,PNG,X,Y,left,right,lclick,rclick,return,space,escape,up,down,pageup,pagedown,control
7000,1,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7031,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7047,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7078,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7094,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7125,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7156,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7172,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7203,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7219,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7250,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7281,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7297,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7328,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7344,1,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7375,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7406,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7422,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7453,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7469,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7500,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7531,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7547,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7578,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7594,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7625,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7656,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7672,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
7703,1,145,617,0,0,0,0,0,0,0,0,0,0,0,0
8000,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
8031,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
8047,1,145,617,0,0,0,0,0,0,0,0,0,0,0,0
8344,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
8375,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
8406,1,145,617,0,0,0,0,0,0,0,0,0,0,0,0
8687,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
8703,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
8719,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
8750,1,145,617,0,0,0,0,0,0,0,0,0,0,0,0
8937,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
8953,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
8969,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
9000,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
9031,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
9047,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
9078,0,145,617,0,0,0,0,0,0,0,0,0,0,0,0
9094,1,145,617,0,0,0,0,0,0,0,0,0,0,0,0
9281,1,896,307,0,0,0,0,0,0,0,0,0,0,0,0
9484,1,1069,201,0,0,0,0,0,0,0,0,0,0,0,0
9687,1,1239,103,0,0,0,0,0,0,0,0,0,0,0,0
9890,1,1248,86,0,0,0,0,0,0,0,0,0,0,0,0
10078,0,1248,86,0,0,0,0,0,0,0,0,0,0,0,0
10094,1,1248,86,1,0,0,0,0,0,0,0,0,0,0,0
10281,1,1248,86,0,0,1,0,0,0,0,0,0,0,0,0
10484,0,1248,86,0,0,0,0,0,0,0,0,0,0,0,0
10500,0,1248,86,0,0,0,0,0,0,0,0,0,0,0,0
10531,0,1248,86,0,0,0,0,0,0,0,0,0,0,0,0
10547,0,1248,86,0,0,0,0,0,0,0,0,0,0,0,0
10578,0,1248,86,0,0,0,0,0,0,0,0,0,0,0,0
10594,0,1248,86,0,0,0,0,0,0,0,0,0,0,0,0
10625,1,1248,86,0,0,0,0,0,0,0,0,0,0,0,0
10812,1,1223,90,0,0,0,0,0,0,0,0,0,0,0,0
11000,1,1074,84,0,0,0,0,0,0,0,0,0,0,0,0
11187,1,815,68,0,0,0,0,0,0,0,0,0,0,0,0
11390,1,808,68,0,0,0,0,0,0,0,0,0,0,0,0
11578,1,859,68,0,0,0,0,0,0,0,0,0,0,0,0
11765,1,887,68,0,0,0,0,0,0,0,0,0,0,0,0
11969,1,929,69,0,0,0,0,0,0,0,0,0,0,0,0
12156,1,953,70,0,0,0,0,0,0,0,0,0,0,0,0
12344,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
12375,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
12406,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
12422,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
12453,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
12469,0,953,70,0,0,0,0,0,0,0,0,0,0,0,0
12500,1,953,70,1,0,0,0,0,0,0,0,0,0,0,0
12687,1,953,70,0,0,1,0,0,0,0,0,0,0,0,0
