time,PNG,X,Y,left,right,lclick,rclick,return,space,escape,up,down,pageup,pagedown,control
5719,0,1073,638,0,0,0,0,0,0,0,0,0,0,0,0
5735,0,1073,638,0,0,0,0,0,0,0,0,0,0,0,0
5766,0,1073,638,0,0,0,0,0,0,0,0,0,0,0,0
5782,0,1073,638,0,0,0,0,0,0,0,0,0,0,0,0
5813,0,1073,638,0,0,0,0,0,0,0,0,0,0,0,0
5829,0,1073,638,0,0,0,0,0,0,0,0,0,0,0,0
5860,0,1073,638,0,0,0,0,0,0,0,0,0,0,0,0
5891,0,1073,638,0,0,0,0,0,0,0,0,0,0,0,0
5907,0,1073,638,0,0,0,0,0,0,0,0,0,0,0,0
5938,1,1071,644,0,0,0,0,0,0,0,0,0,0,0,0
5985,1,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6047,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6063,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6079,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6110,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6141,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6157,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6188,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6204,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6235,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6266,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6282,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6313,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6329,1,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6375,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6391,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6407,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6438,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6454,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6485,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6516,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6532,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6563,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6579,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6610,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6641,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6657,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6688,1,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6719,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6735,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6766,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6782,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6813,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6829,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6860,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6891,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6907,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6938,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6954,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
6985,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7016,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7032,1,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7063,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7079,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7110,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7141,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7157,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7188,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7204,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7235,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7266,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7282,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7313,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7329,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7360,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7391,1,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7407,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7438,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7454,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7485,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7516,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7532,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7563,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7579,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7610,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
7641,0,1061,668,0,0,0,0,0,0,0,0,0,0,0,0
